,Year,Country,Participant,Song,Points,Competition,Qualified,Rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
82,2022,Cyprus,Andromache,Ela,63,Second Semi-Final,no,12th,0.659,0.626,3,-6.809,0,0.0906,0.244,0,0.0647,0.652,97.982,182485
83,2022,Ireland,Brooke,That's Rich,47,Second Semi-Final,no,15th,0.508,0.503,2,-8.65,1,0.0298,0.202,0,0.105,0.394,123.962,283964
84,2022,North Macedonia,Andrea,Circles,76,Second Semi-Final,no,11th,0.544,0.714,1,-4.598,0,0.0338,0.48,0,0.171,0.221,143.965,180001
85,2022,Estonia,Stefan,Hope,209,Second Semi-Final,yes,5th,0.216,0.0797,2,-24.843,1,0.0523,0.851,9.44e-05,0.146,0.37,64.079,220893
86,2022,Romania,WRS,Llámame,118,Second Semi-Final,yes,9th,0.755,0.757,5,-6.209,0,0.131,0.0564,0,0.154,0.661,119.971,184030
87,2022,Poland,Ochman,River,198,Second Semi-Final,yes,6th,0.509,0.673,8,-4.769,1,0.0391,0.561,0,0.116,0.326,139.862,180202
88,2022,Montenegro,Vladana,Breathe,33,Second Semi-Final,no,17th,0.43,0.462,7,-6.846,0,0.0338,0.554,1.73e-06,0.102,0.197,76.905,180674
89,2022,Belgium,Jérémie Makiese,Miss You,151,Second Semi-Final,yes,8th,0.625,0.527,6,-6.269,0,0.0529,0.239,0,0.13,0.28,144.023,173333
90,2022,Sweden,Cornelia Jakobs,Hold Me Closer,396,Second Semi-Final,yes,1st,0.489,0.616,6,-7.599,1,0.0382,0.107,0,0.145,0.168,96.819,199427
91,2022,Czechia,We Are Domi,Lights Off,227,Second Semi-Final,yes,4th,0.584,0.766,9,-6.65,0,0.0715,0.176,1.19e-05,0.141,0.576,125.982,179324
92,2022,Czechia,We Are Domi,Lights Off,38,Grand Final,NaN,22nd,0.584,0.766,9,-6.65,0,0.0715,0.176,1.19e-05,0.141,0.576,125.982,179324
93,2022,Romania,WRS,Llámame,65,Grand Final,NaN,18th,0.755,0.757,5,-6.209,0,0.131,0.0564,0,0.154,0.661,119.971,184030
94,2022,Portugal,MARO,"Saudade, Saudade",207,Grand Final,NaN,9th,0.644,0.337,10,-11.261,0,0.0357,0.681,0.000208,0.108,0.376,82.992,181227
95,2022,Finland,The Rasmus,Jezebel,38,Grand Final,NaN,21st,0.495,0.867,11,-4.111,0,0.0444,0.00298,0,0.0763,0.487,116.009,190863
96,2022,Switzerland,Marius Bear,Boys Do Cry,78,Grand Final,NaN,17th,0.415,0.182,5,-10.504,1,0.036,0.866,0,0.108,0.388,115.973,176602
97,2022,France,Alvan & Ahez,Fulenn,17,Grand Final,NaN,24th,0.326,0.0882,11,-25.202,0,0.058,0.991,0.922,0.107,0.229,205.083,202375
